编号 商品名称 单位 单价
100 食用盐500克 袋 1.49
101 白砂糖500克 袋 5.13 
102 红糖500克 袋 5.73
103 生抽酱油500ml 瓶 5.22
104 老抽酱油500ml 瓶 6.10
105 老陈醋500ml 瓶 4.18
106 白醋500ml 瓶 5.00
107 味精500克 袋 8.92
108 味精100克 袋 2.10
109 鸡精200克 瓶 7.99
110 菜籽油1升 瓶 13.15
111 菜籽油5升 瓶 64.29
112 大豆油1升 瓶 11.80
113 大豆油5升 瓶 59.14
114 花生油1升 瓶 24.80
115 大豆调和油1升 瓶 13.25
116 袋装牛奶 袋 2.33
117 盒装牛奶 盒 2.64
118 矿泉水 瓶 1.5
119 可乐 瓶 3.0
120 雪碧 瓶 3.0
121 豆腐 斤 2.30
122 饼干 袋 3.41
123 大袋饼干 袋 6.99
124 方便面 袋 2.5
125 肥皂 块 5
126 沐浴露 瓶 19.9
127 洗发水 瓶 21.0
128 脸盆（小）个 2
129 脸盆（中）个 3.5
130 脸盆（大）个 5.5
131 牙刷 只 3
132 牙膏 盒 2.50
133 牙膏家庭装 盒 7.5
134 毛巾小 块 5.5
135 浴巾 块 19.99
136 洗面奶 瓶 9.9
137 塑料杯 个 2.5
138 玻璃杯 个 5.9
139 塑料盆 个 11.0
140 金属盆 个 25.8
141 晾衣架 个 2.3
142 晾衣架（6个装） 捆 11.50
143 撑衣棍 根 2.50
144 电话卡20 张 20
145 电话卡50 张 50
146 碘盐 袋 1.60
147 小饼干 袋 4.50
148 火腿肠 袋 6.80
149 矿泉水 瓶 1.50
150 苹果 斤 4.5
151 西瓜 斤 2.1
152 话梅 袋 3.5

